2019-11-21 10:16:42 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:16:43 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:16:44 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:16:45 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:16:46 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:16:48 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:16:49 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:16:50 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:16:51 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:16:52 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:17:05 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:17:06 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:17:07 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:17:09 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:17:10 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:17:11 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:17:12 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:17:13 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:17:14 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:17:15 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:23:00 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:23:01 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:23:02 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:23:03 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:23:04 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:23:05 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:23:06 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:23:07 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:23:08 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:23:09 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:23:14 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:23:15 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:23:16 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:23:17 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:23:18 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:23:19 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:23:20 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:23:21 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:23:22 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:23:23 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:23:24 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:23:25 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:23:26 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:23:27 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:23:28 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:23:29 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:23:30 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:23:31 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:23:32 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:23:33 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:23:35 RON ndb_4 LED PASS, attempt 1
2019-11-21 10:23:36 RON ndb_4 LED PASS, attempt 2
2019-11-21 10:23:37 RON ndb_4 LED PASS, attempt 3
2019-11-21 10:23:38 RON ndb_4 LED PASS, attempt 4
2019-11-21 10:23:39 RON ndb_4 LED PASS, attempt 5
2019-11-21 10:23:40 RON ndb_4 LED FAIL, attempt 1
2019-11-21 10:23:42 RON ndb_4 LED FAIL, attempt 2
2019-11-21 10:23:43 RON ndb_4 LED FAIL, attempt 3
2019-11-21 10:23:44 RON ndb_4 LED FAIL, attempt 4
2019-11-21 10:23:45 RON ndb_4 LED FAIL, attempt 5
2019-11-21 10:26:44 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:26:45 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:26:46 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:26:47 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:26:48 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:26:49 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:26:50 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:26:51 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:26:52 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:26:53 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:26:57 RON ndb_2 LED PASS, attempt 1
2019-11-21 10:26:59 RON ndb_2 LED PASS, attempt 2
2019-11-21 10:27:00 RON ndb_2 LED PASS, attempt 3
2019-11-21 10:27:01 RON ndb_2 LED PASS, attempt 4
2019-11-21 10:27:02 RON ndb_2 LED PASS, attempt 5
2019-11-21 10:27:03 RON ndb_2 LED FAIL, attempt 1
2019-11-21 10:27:04 RON ndb_2 LED FAIL, attempt 2
2019-11-21 10:27:05 RON ndb_2 LED FAIL, attempt 3
2019-11-21 10:27:06 RON ndb_2 LED FAIL, attempt 4
2019-11-21 10:27:07 RON ndb_2 LED FAIL, attempt 5
2019-11-21 10:27:08 RON ndb_3 LED PASS, attempt 1
2019-11-21 10:27:09 RON ndb_3 LED PASS, attempt 2
2019-11-21 10:27:10 RON ndb_3 LED PASS, attempt 3
2019-11-21 10:27:11 RON ndb_3 LED PASS, attempt 4
2019-11-21 10:27:12 RON ndb_3 LED PASS, attempt 5
2019-11-21 10:27:13 RON ndb_3 LED FAIL, attempt 1
2019-11-21 10:27:14 RON ndb_3 LED FAIL, attempt 2
2019-11-21 10:27:15 RON ndb_3 LED FAIL, attempt 3
2019-11-21 10:27:16 RON ndb_3 LED FAIL, attempt 4
2019-11-21 10:27:17 RON ndb_3 LED FAIL, attempt 5
2019-11-21 10:27:18 RON ndb_4 LED PASS, attempt 1
2019-11-21 10:27:19 RON ndb_4 LED PASS, attempt 2
2019-11-21 10:27:20 RON ndb_4 LED PASS, attempt 3
2019-11-21 10:27:22 RON ndb_4 LED PASS, attempt 4
2019-11-21 10:27:23 RON ndb_4 LED PASS, attempt 5
2019-11-21 10:27:24 RON ndb_4 LED FAIL, attempt 1
2019-11-21 10:27:25 RON ndb_4 LED FAIL, attempt 2
