2019-11-11 14:49:59 RON ndb_1 LED PASS, attempt 1
2019-11-11 14:50:00 RON ndb_1 LED PASS, attempt 2
2019-11-11 14:50:01 RON ndb_1 LED PASS, attempt 3
2019-11-11 14:50:02 RON ndb_1 LED PASS, attempt 4
2019-11-11 14:50:03 RON ndb_1 LED PASS, attempt 5
2019-11-11 14:50:04 RON ndb_1 LED FAIL, attempt 1
2019-11-11 14:50:05 RON ndb_1 LED FAIL, attempt 2
2019-11-11 14:50:06 RON ndb_1 LED FAIL, attempt 3
2019-11-11 14:50:07 RON ndb_1 LED FAIL, attempt 4
2019-11-11 14:50:08 RON ndb_1 LED FAIL, attempt 5
2019-11-11 14:52:51 RON ndb_1 LED PASS, attempt 1
2019-11-11 14:52:52 RON ndb_1 LED PASS, attempt 2
2019-11-11 14:52:54 RON ndb_1 LED PASS, attempt 3
2019-11-11 14:52:55 RON ndb_1 LED PASS, attempt 4
2019-11-11 14:52:56 RON ndb_1 LED PASS, attempt 5
2019-11-11 14:52:57 RON ndb_1 LED FAIL, attempt 1
2019-11-11 14:52:58 RON ndb_1 LED FAIL, attempt 2
2019-11-11 14:52:59 RON ndb_1 LED FAIL, attempt 3
2019-11-11 14:53:00 RON ndb_1 LED FAIL, attempt 4
2019-11-11 14:53:01 RON ndb_1 LED FAIL, attempt 5
2019-11-11 15:00:01 RON ndb_1 LED PASS, attempt 1
2019-11-11 15:00:02 RON ndb_1 LED PASS, attempt 2
2019-11-11 15:00:03 RON ndb_1 LED PASS, attempt 3
2019-11-11 15:00:04 RON ndb_1 LED PASS, attempt 4
2019-11-11 15:00:05 RON ndb_1 LED PASS, attempt 5
2019-11-11 15:00:06 RON ndb_1 LED FAIL, attempt 1
2019-11-11 15:00:07 RON ndb_1 LED FAIL, attempt 2
2019-11-11 15:00:08 RON ndb_1 LED FAIL, attempt 3
2019-11-11 15:00:09 RON ndb_1 LED FAIL, attempt 4
2019-11-11 15:00:10 RON ndb_1 LED FAIL, attempt 5
2019-11-11 15:01:49 RON ndb_1 LED PASS, attempt 1
2019-11-11 15:01:51 RON ndb_1 LED PASS, attempt 2
2019-11-11 15:01:53 RON ndb_1 LED PASS, attempt 3
2019-11-11 15:01:54 RON ndb_1 LED PASS, attempt 4
2019-11-11 15:01:55 RON ndb_1 LED PASS, attempt 5
2019-11-11 15:01:56 RON ndb_1 LED FAIL, attempt 1
2019-11-11 15:01:57 RON ndb_1 LED FAIL, attempt 2
2019-11-11 15:01:58 RON ndb_1 LED FAIL, attempt 3
2019-11-11 15:01:59 RON ndb_1 LED FAIL, attempt 4
2019-11-11 15:02:01 RON ndb_1 LED FAIL, attempt 5
2019-11-11 15:03:31 ROFF tcb_1, test:1, attempt 1
2019-11-11 15:05:34 ROFF tcb_2, test:1, attempt 1
2019-11-11 15:09:34 ROFF tcb_2, test:1, attempt 1
2019-11-11 15:09:37 ROFF tcb_2, test:1, attempt 2
2019-11-11 15:09:39 ROFF tcb_2, test:1, attempt 3
2019-11-11 15:09:41 ROFF tcb_2, test:1, attempt 4
2019-11-11 15:09:43 ROFF tcb_2, test:1, attempt 5
2019-11-11 15:09:45 ROFF tmux_2, test:1, attempt 1
2019-11-11 15:09:48 ROFF tmux_2, test:1, attempt 2
2019-11-11 15:09:50 ROFF tmux_2, test:1, attempt 3
2019-11-11 15:09:52 ROFF tmux_2, test:1, attempt 4
2019-11-11 15:09:54 ROFF tmux_2, test:1, attempt 5
2019-11-11 15:13:16 ROFF tcb_2, test:1, attempt 1
2019-11-11 15:13:18 ROFF tcb_2, test:1, attempt 2
2019-11-11 15:13:20 ROFF tcb_2, test:1, attempt 3
2019-11-11 15:13:22 ROFF tcb_2, test:1, attempt 4
2019-11-11 15:13:24 ROFF tcb_2, test:1, attempt 5
2019-11-11 15:13:27 ROFF tmux_2, test:1, attempt 1
2019-11-11 15:13:29 ROFF tmux_2, test:1, attempt 2
2019-11-11 15:13:31 ROFF tmux_2, test:1, attempt 3
2019-11-11 15:13:33 ROFF tmux_2, test:1, attempt 4
2019-11-11 15:13:35 ROFF tmux_2, test:1, attempt 5
2019-11-11 15:19:38 ROFF tcb_2, test:1, attempt 1
2019-11-11 15:19:40 ROFF tcb_2, test:1, attempt 2
2019-11-11 15:19:42 ROFF tcb_2, test:1, attempt 3
2019-11-11 15:19:44 ROFF tcb_2, test:1, attempt 4
2019-11-11 15:19:46 ROFF tcb_2, test:1, attempt 5
2019-11-11 15:19:48 ROFF tmux_2, test:1, attempt 1
2019-11-11 15:19:50 ROFF tmux_2, test:1, attempt 2
2019-11-11 15:19:52 ROFF tmux_2, test:1, attempt 3
2019-11-11 15:19:54 ROFF tmux_2, test:1, attempt 4
2019-11-11 15:19:56 ROFF tmux_2, test:1, attempt 5
2019-11-11 15:28:11 RON ndb_2 LED PASS, attempt 1
2019-11-11 15:28:12 RON ndb_2 LED PASS, attempt 2
2019-11-11 15:28:13 RON ndb_2 LED PASS, attempt 3
2019-11-11 15:28:14 RON ndb_2 LED PASS, attempt 4
2019-11-11 15:28:15 RON ndb_2 LED PASS, attempt 5
2019-11-11 15:28:16 RON ndb_2 LED FAIL, attempt 1
2019-11-11 15:28:18 RON ndb_2 LED FAIL, attempt 2
2019-11-11 15:28:19 RON ndb_2 LED FAIL, attempt 3
2019-11-11 15:28:20 RON ndb_2 LED FAIL, attempt 4
2019-11-11 15:28:21 RON ndb_2 LED FAIL, attempt 5
2019-11-11 15:32:47 RON ndb_2 LED PASS, attempt 1
2019-11-11 15:32:48 RON ndb_2 LED PASS, attempt 2
2019-11-11 15:32:49 RON ndb_2 LED PASS, attempt 3
2019-11-11 15:32:50 RON ndb_2 LED PASS, attempt 4
2019-11-11 15:32:51 RON ndb_2 LED PASS, attempt 5
2019-11-11 15:32:52 RON ndb_2 LED FAIL, attempt 1
2019-11-11 15:32:53 RON ndb_2 LED FAIL, attempt 2
2019-11-11 15:32:54 RON ndb_2 LED FAIL, attempt 3
2019-11-11 15:32:55 RON ndb_2 LED FAIL, attempt 4
2019-11-11 15:32:57 RON ndb_2 LED FAIL, attempt 5
2019-11-11 15:33:32 RON ndb_3 LED PASS, attempt 1
2019-11-11 15:33:33 RON ndb_3 LED PASS, attempt 2
2019-11-11 15:33:34 RON ndb_3 LED PASS, attempt 3
2019-11-11 15:33:35 RON ndb_3 LED PASS, attempt 4
2019-11-11 15:33:37 RON ndb_3 LED PASS, attempt 5
2019-11-11 15:33:38 RON ndb_3 LED FAIL, attempt 1
2019-11-11 15:33:39 RON ndb_3 LED FAIL, attempt 2
2019-11-11 15:33:40 RON ndb_3 LED FAIL, attempt 3
2019-11-11 15:33:41 RON ndb_3 LED FAIL, attempt 4
2019-11-11 15:33:42 RON ndb_3 LED FAIL, attempt 5
2019-11-11 15:33:47 RON ndb_4 LED PASS, attempt 1
