2019-11-21 13:13:01 TRIP time read from ndb_2, attempt 1
2019-11-21 13:13:02 TRIP time read from ndb_2, attempt 2
2019-11-21 13:13:04 TRIP time read from ndb_2, attempt 3
2019-11-21 13:13:05 TRIP time read from ndb_2, attempt 4
2019-11-21 13:13:06 TRIP time read from ndb_2, attempt 5
2019-11-21 13:26:25 TRIP time read from ndb_2, attempt 1
2019-11-21 13:26:26 TRIP time read from ndb_2, attempt 2
2019-11-21 13:26:27 TRIP time read from ndb_2, attempt 3
2019-11-21 13:26:28 TRIP time read from ndb_2, attempt 4
2019-11-21 13:26:29 TRIP time read from ndb_2, attempt 5
2019-11-21 13:26:30 TRIP time read from ndb_3, attempt 1
2019-11-21 13:26:31 TRIP time read from ndb_3, attempt 2
2019-11-21 13:26:32 TRIP time read from ndb_3, attempt 3
2019-11-21 13:26:33 TRIP time read from ndb_3, attempt 4
2019-11-21 13:26:34 TRIP time read from ndb_3, attempt 5
2019-11-21 13:26:35 TRIP time read from ndb_4, attempt 1
2019-11-21 13:26:36 TRIP time read from ndb_4, attempt 2
2019-11-21 13:26:38 TRIP time read from ndb_4, attempt 3
2019-11-21 13:26:40 TRIP time read from ndb_4, attempt 4
2019-11-21 13:26:41 TRIP time read from ndb_4, attempt 5
